id,spulentyp_id,auftragsnr,auftragsposnr,bemessungsspannung,bemessungsfrequenz,einheit,notiz
1,1,92240093-01,92240093-01,12124.3557,50,123457890,
2,2,92220645,92220645,66395.28096,50,1,
